name,version,platform,vdpx,framework_version,python_version,min_vam_version
eagle_research.rtu,1.1.9,win_amd64,eagle_research.rtu-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
eagle_research.rtu,1.1.9,linux_x86_64,eagle_research.rtu-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
elpro_technologies.elpro_900,1.1.2,win_amd64,elpro_technologies.elpro_900-1.1.2-win_amd64._vdpx,2.7.5,3.9,1.38
elpro_technologies.elpro_900,1.1.2,linux_x86_64,elpro_technologies.elpro_900-1.1.2-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.controlwave_micro,1.1.3,linux_x86_64,emerson.controlwave_micro-1.1.3-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.controlwave_micro,1.1.3,win_amd64,emerson.controlwave_micro-1.1.3-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.deltav_controller,1.1.18,win_amd64,emerson.deltav_controller-1.1.18-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.deltav_controller,1.1.18,linux_x86_64,emerson.deltav_controller-1.1.18-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.deltav_switch,1.1.9,win_amd64,emerson.deltav_switch-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.deltav_switch,1.1.9,linux_x86_64,emerson.deltav_switch-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.fb3000,1.1.3,win_amd64,emerson.fb3000-1.1.3-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.fb3000,1.1.3,linux_x86_64,emerson.fb3000-1.1.3-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.ovation,1.1.10,win_amd64,emerson.ovation-1.1.10-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.ovation,1.1.10,linux_x86_64,emerson.ovation-1.1.10-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.roc.floboss,1.1.9,linux_x86_64,emerson.roc.floboss-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.roc.floboss,1.1.9,win_amd64,emerson.roc.floboss-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.roc.roc800,1.1.9,linux_x86_64,emerson.roc.roc800-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.roc.roc800,1.1.9,win_amd64,emerson.roc.roc800-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
emerson.ultrasonic_flow_meters,1.1.5,linux_x86_64,emerson.ultrasonic_flow_meters-1.1.5-linux_x86_64._vdpx,2.7.5,3.9,1.38
emerson.ultrasonic_flow_meters,1.1.5,win_amd64,emerson.ultrasonic_flow_meters-1.1.5-win_amd64._vdpx,2.7.5,3.9,1.38
esc_spectrum.esc_8864,1.1.9,linux_x86_64,esc_spectrum.esc_8864-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
esc_spectrum.esc_8864,1.1.9,win_amd64,esc_spectrum.esc_8864-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
ethernetip,1.1.22,win_amd64,ethernetip-1.1.22-win_amd64._vdpx,2.7.5,3.9,1.38
ethernetip,1.1.22,linux_x86_64,ethernetip-1.1.22-linux_x86_64._vdpx,2.7.5,3.9,1.38
exalt.ex_5i,1.1.9,linux_x86_64,exalt.ex_5i-1.1.9-linux_x86_64._vdpx,2.7.5,3.9,1.38
exalt.ex_5i,1.1.9,win_amd64,exalt.ex_5i-1.1.9-win_amd64._vdpx,2.7.5,3.9,1.38
