DriverName,Hostname,MACAddressVendor,TCPListeningPorts
,,"[""Schneider Electric Japan Holdings Ltd""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""NetApp""]",
,,"[""VMware, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Bristol Babcock, Inc""]",
,,"[""Caterpillar, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Vacon Plc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Dell Inc""]",
,,"[""Caterpillar, Inc""]",
"""emerson.fb3000""",,"[""Bristol Babcock, Inc""]",
"""cisco.ios""","""sw-pcn-rest-0316-plc02-03""","[""Rockwell Automation""]","[22, 80, 443, 4786, 44818]"
,,"[""VMware, Inc""]","[135, 139, 445, 1433, 1434, 2383, 3389, 5985, 47001, 49181, 49256, 49521, 49664, 49665, 49796, 49901, 50086, 50118, 50322, 50382, 50565, 50684, 50756, 50963, 50978, 51192, 51287, 51396, 51573, 51638, 51848, 51904, 52020, 52062, 52083, 52132, 52186, 52207, 52238, 52289, 52330, 52469, 52513, 52525, 52571, 52625, 52668, 52742, 52755, 52787, 52814, 52849, 52868, 52908, 52953, 52965, 52991, 53011, 53053, 53098, 53122, 53152, 53203, 53231, 53407, 53626, 53850, 54115, 54199, 54250, 54278, 54313, 54334, 54379, 54408, 54448, 54560, 54580, 54594, 54615, 54659, 54701, 54732, 54757, 54793, 54831, 54838, 54872, 54919, 54958, 54991, 55030, 55041, 55068, 55103, 55139, 55174, 55198, 55242, 55266, 55289, 55335, 55478, 55780, 55819, 56094, 56367, 56672, 56935, 57234, 57481, 57524, 57551, 57608, 57915, 57985, 58061, 58134, 58256, 58611, 58667, 58715, 58776, 58826, 58890, 58933, 58973, 59034, 59338, 59671, 59986, 60282, 60566, 60852, 61154, 61465, 61747, 61873, 61874, 61880, 61891, 61924, 61933, 61941, 61966, 62048, 62049, 62308, 62342, 62510, 62558, 62628, 62677, 62755, 62891, 62910, 63038, 63076, 63094, 63124, 63211, 63214, 63397, 63536, 63574, 63601, 63823, 63843, 63901, 63998, 64001, 64110, 64160, 64284, 64403, 64486, 64693, 64699, 64951, 64971, 65213, 65269, 65423]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,,
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]",
"""palo_alto_networks.panos""","""fw-pcn-BEG-c7h-MCC-01""","[""Palo Alto Networks""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""schneider.scadapack""",,"[""Control Microsystems""]",
"""weidmuller.ie_cs""",,"[""Weidmüller Interface GmbH & Co. KG""]",
"""vmware.esxi""","""WR1420SVR001.otlab.tourmalineoil.com""","[""VMware, Inc"", ""Dell Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""juniper_networks.junos""","""ESW-8200-2""","[""Xerox Corporation"", ""Juniper Networks""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 443, 445, 1332, 2221, 3060, 3389, 4241, 4244, 4245, 4255, 5241, 5357, 5698, 5699, 5799, 5898, 5985, 6002, 6543, 7001, 7002, 7110, 7111, 7113, 7147, 7150, 7153, 9111, 11101, 11150, 12315, 21027, 22350, 22352, 27000, 27024, 27027, 27050, 27051, 27052, 27053, 27054, 27055, 27056, 27100, 30064, 40000, 40002, 40006, 47001, 49664, 49665, 53204, 54967, 56657, 56660, 56661, 56668, 56702, 56742, 56743, 56745, 56945, 56950, 57018, 58760]"
"""palo_alto_networks.panos""","""fw-pcn-wildhay-1116-admin-01""","[""Palo Alto Networks""]",
"""juniper_networks.junos""","""sw-pcn-NigCr-c46c-radio-01""","[""Xerox Corporation"", ""Juniper Networks""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Littelfuse Startco""]",
"""schneider.scadapack""",,"[""Control Microsystems""]",
"""ethernetip""",,"[""Caterpillar, Inc""]",
,,"[""Schneider Electric Japan Holdings Ltd""]",
"""ethernetip""",,"[""Vacon Plc""]",
"""juniper_networks.junos""","""sw-pcn-spirit-0603-admin-02""","[""Xerox Corporation"", ""Juniper Networks""]",
,,"[""Beijer Electronics Products AB""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""Bristol Babcock, Inc""]",
"""juniper_networks.junos""","""sw-pcn-rest-0316-edge-01""","[""Xerox Corporation"", ""Juniper Networks""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 445, 1332, 2221, 2222, 3060, 3061, 3389, 4241, 4243, 4244, 4245, 4255, 5241, 5357, 5450, 5478, 5698, 5699, 5799, 5898, 5985, 6000, 6543, 7111, 7147, 7153, 8141, 8732, 9111, 12315, 21027, 22350, 22352, 27000, 27024, 27027, 27050, 27051, 27052, 27053, 27054, 27055, 27056, 27100, 30064, 44818, 47001, 49664, 49665, 54967, 59313, 59330, 59355, 59381, 59955, 60034, 60036, 62511, 62638, 62645, 62648, 62654]"
"""ethernetip""",,"[""Red Lion Controls Inc""]",
,,"[""Microwave Data Systems Inc""]",
"""snmp.generic""","""Aitken_A11A_NPIA5450A_1""","[""Moxa Technologies Corp, Ltd""]","[80, 443, 966, 967, 968, 969, 4001, 4002, 4003, 4004, 4900]"
,,"[""Caterpillar, Inc""]",
"""palo_alto_networks.panos""","""fw-pcn-leland-1434-admin-01""","[""Palo Alto Networks""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""vmware.esxi""",,"[""VMware, Inc""]","[135, 139, 403, 445, 1332, 2221, 3060, 3387, 3389, 4241, 4244, 4245, 4255, 5241, 5670, 5698, 5699, 5985, 6543, 7111, 7147, 7153, 9111, 12315, 22350, 22352, 27000, 30064, 44818, 47001, 49664, 49665, 54967, 65165, 65167, 65169, 65184, 65229, 65230, 65237, 65238, 65244, 65286]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""snmp.generic""","""ESW-6101-1.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",
"""snmp.generic""",,"[""Microhard Systems Inc""]",
,,"[""VMware, Inc""]","[53, 88, 135, 139, 389, 445, 464, 593, 636, 3268, 3269, 3389, 5985, 9389, 12388, 12389, 12390, 12391, 12392, 12636, 13268, 13269, 47001, 49664, 49665, 49666, 49667, 49668, 49670, 49671, 49672, 49675, 49678, 49683, 49694, 49699, 59391]"
,,"[""VMware, Inc""]",
,,"[""NetApp""]",
"""ethernetip""",,,
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Prosoft Technology, Inc"", ""Rockwell Automation""]",
,,"[""Red Lion Controls Inc""]",
"""palo_alto_networks.panos""","""fw-pcn-musreau-0913-mcc-01""","[""Palo Alto Networks""]",
,,"[""VMware, Inc""]","[135, 139, 403, 445, 1332, 2221, 2222, 3060, 3387, 3389, 4241, 4244, 4245, 4255, 5241, 5698, 5699, 5799, 5898, 5985, 6543, 7111, 7147, 7153, 9111, 12315, 21027, 22350, 22352, 30064, 44818, 47001, 49664, 49665, 50883, 50885, 50886, 50887, 50894, 51421, 54967, 55615, 55616, 55619]"
,,"[""Caterpillar, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
,"""sw-pcn-mulligan-0308-mcc1-02.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",
"""ethernetip""",,"[""Caterpillar, Inc""]",
,,"[""Moxa Technologies Corp, Ltd""]",
,,"[""GE""]",
,,"[""Bristol Babcock, Inc""]",
,,"[""VMware, Inc""]","[22, 53, 8339]"
"""snmp.generic""","""ACC11AUPS001""","[""APC by Schneider Electric""]",
,,"[""Dell Inc""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""onvif.generic""","""Hikvision""","[""Hangzhou Hikvision Digital Technology Co., Ltd""]",
,,"[""VMware, Inc""]",
"""snmp.generic""","""ESW-6210-1.ot.tourmalineoil.com""","[""Cisco Systems, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""synology.nas""","""KAK0135SYN001""","[""Synology Incorporated"", ""StarTech.com""]","[80, 139, 161, 443, 445, 554, 3260, 5000, 5001, 5357, 5432, 42806]"
,"""IE-CS-2TX-1RS232/485_7137""","[""Weidmüller Interface GmbH & Co. KG""]",
"""emerson.roc.floboss""",,"[""Bristol Babcock, Inc""]",
"""emerson.roc.roc800""",,"[""Spectra - Tek""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]","[80, 135, 139, 443, 445, 3387, 3389, 5504, 5985, 47001, 49664, 49665, 50000, 62428, 62429, 62432, 62433, 62472, 62486, 62487, 62488, 62491, 62530]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""emerson.fb3000""",,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
,,"[""VMware, Inc""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 445, 1332, 2221, 3060, 3389, 4241, 4243, 4244, 4245, 4255, 5241, 5450, 5478, 5670, 5698, 5699, 5985, 6000, 6543, 7111, 7147, 7153, 7155, 8141, 8732, 9111, 12315, 22350, 22352, 27000, 27024, 27027, 27050, 27051, 27052, 27053, 27054, 27055, 27056, 27100, 30064, 32402, 44818, 47001, 49320, 49664, 49665, 49666, 49667, 49668, 49669, 49697, 49702, 49703, 49721, 49732, 54967, 56233, 57412, 57512, 57812, 58551, 58993, 59406, 59417, 62511, 63180]"
,,"[""Dell Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""palo_alto_networks.panos""","""fw-pcn-berland-1415-admin-02""","[""Palo Alto Networks""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""palo_alto_networks.panos""","""fw-pcn-ansell-0134-admin-01""","[""Palo Alto Networks""]",
"""emerson.roc.floboss""",,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""schneider.scadapack""",,"[""Control Microsystems""]",
"""cisco.ios""","""sw-pcn-musreau-0913-mcc1-01""","[""Cisco Systems, Inc""]","[22, 443, 21111]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""juniper_networks.junos""","""sw-pcn-edson-0417-admin-01""","[""Xerox Corporation"", ""Juniper Networks""]",
"""synology.nas""","""SNR0318SYN001""","[""Synology Incorporated"", ""StarTech.com""]","[80, 139, 161, 443, 445, 554, 3260, 5000, 5001, 5357, 5432, 9900, 9901]"
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Rockwell Automation""]",
,,"[""VMware, Inc""]","[80, 135, 139, 403, 443, 445, 1332, 2221, 2222, 3060, 3061, 3389, 4241, 4244, 4245, 4247, 4255, 5241, 5357, 5698, 5699, 5799, 5800, 5898, 5900, 5985, 6002, 6543, 7001, 7002, 7110, 7111, 7113, 7147, 7150, 7153, 7550, 8141, 9111, 11101, 11150, 12315, 21027, 22350, 22352, 27000, 30064, 40000, 40001, 40002, 40006, 44818, 47001, 49664, 49665, 54967, 56928, 59511, 59514, 59515, 59516, 59544, 59596, 59600, 59606, 59617, 59734]"
,,"[""Red Lion Controls, LP""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""schneider.scadapack""",,"[""Control Microsystems""]",
"""red_lion.ntron""","""N-TRON Switch K-2300""","[""Red Lion Controls, LP""]","[80, 44818]"
,,"[""Dell Inc""]",
,,"[""Axis Communications AB""]",
,,"[""Bristol Babcock, Inc""]",
"""ethernetip""",,"[""Red Lion Controls Inc""]",
"""ethernetip""",,"[""Rockwell Automation""]",
"""ethernetip""",,"[""Circa Enterprises Inc""]",
,,"[""Dell Inc""]","[135, 139, 403, 445, 623, 1332, 2221, 3060, 3389, 4241, 4244, 4245, 4255, 5040, 5241, 5670, 5698, 5699, 6543, 7111, 7147, 7153, 8884, 9111, 12315, 16992, 22350, 22352, 27000, 30064, 44818, 49664, 49665, 49666, 49667, 49668, 49669, 49670, 49671, 49689, 49727, 54967, 56278, 56299]"
